time,position,velocity,acceleration,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11
59.7,2791.87984998569,6.63302951388889,0.374280768914705,0,0,0,0,1,1,0,1,0,0,1
59.8,2792.65662802279,6.78685798215556,0.361727356713725,0,0,0,0,1,1,0,1,0,0,1
59.9,2793.43784125976,6.86156611967216,0.37012802739511,0,0,0,0,1,1,0,1,0,0,1
60.0,2794.22163854674,6.93307891016796,0.371944604056378,0,0,0,0,1,1,0,1,0,0,1
60.1,2795.0132305534,7.00202310045549,0.354635979840875,0,0,0,0,1,1,0,1,0,0,1
60.2,2795.81069906149,7.08116319444444,0.332812676613984,0,0,0,0,1,1,0,1,0,0,1
60.3,2796.60994820438,7.15494791666667,0.29829167821254,0,0,0,0,1,1,0,1,0,0,1
60.4,2797.4149280721,7.22584423091092,0.255554537290167,0,0,0,0,1,1,0,1,0,0,1
60.5,2798.22509640822,7.29600694444444,0.208151292735789,0,0,0,0,1,1,0,1,0,0,1
60.6,2799.0419241018,7.40720478660373,0.143254728373372,0,0,0,0,1,1,0,1,0,0,1
60.7,2799.86479505448,7.40776909722222,0.0754647331461225,0,0,0,0,1,1,0,1,0,0,1
60.8,2800.69476984707,7.49634820932288,0.017722606056842,0,0,0,0,1,1,0,1,0,0,1
60.9,2801.53339519746,7.53324864342591,-0.0359388815195441,0,0,0,0,1,1,0,0,0,0,1
61.0,2802.37777811091,7.58531792119898,-0.086886177970615,0,0,0,0,1,1,0,0,0,0,1
61.1,2803.22642490459,7.61580139959585,-0.101002394025501,0,0,0,0,1,1,0,0,0,0,1
61.2,2804.08174939919,7.66016202529691,-0.12479514147335,0,0,0,0,1,1,0,0,0,0,1
61.3,2804.94801523122,7.69748263888889,-0.119179330587403,0,0,0,0,1,1,0,0,0,0,1
61.4,2805.81970979419,7.70290798611111,-0.0976889252967801,0,0,0,0,1,1,0,0,0,0,1
61.5,2806.70012393813,7.73763020833333,-0.0689485941653624,0,0,0,0,1,1,0,0,0,0,1
61.6,2807.58720966971,7.76692708333333,-0.0438190313229293,0,0,0,0,1,1,0,0,0,0,1
61.7,2808.47928532602,7.8729166901469,-0.0005959463733539,0,0,0,0,1,1,0,0,0,0,1
61.8,2809.38053148228,7.92072214042143,0.052034318021956,0,0,0,0,1,1,0,0,0,0,1
61.9,2810.2947208591,7.93825316249929,0.102948042442706,0,0,0,0,1,1,0,0,0,0,1
62.0,2811.20833604027,7.98586499965932,0.130249127980924,0,0,0,0,1,1,0,0,0,0,1
62.1,2812.12687161193,8.00982599049595,0.140183096337156,0,0,0,0,1,1,0,0,0,0,1
62.2,2813.0551203128,8.09461805555556,0.155690482518341,0,0,0,0,1,1,0,0,0,0,1
62.3,2813.98978603084,8.14670138888889,0.182363331501829,0,0,0,0,1,1,0,0,0,0,1
62.4,2814.92961232847,8.20855034722222,0.212779427259797,0,0,0,0,1,1,0,0,0,0,1
62.5,2815.87322070721,8.33519309925198,0.228625075956117,0,0,0,0,1,1,0,0,0,0,1
62.6,2816.82663266779,8.38407993012711,0.238369970036818,0,0,0,0,1,1,0,0,0,0,1
62.7,2817.78207002319,8.4382838307271,0.242244072329487,0,0,0,0,1,1,0,0,0,0,1
62.8,2818.74509537513,8.49728432528461,0.242971086556857,0,0,0,0,1,1,0,0,0,0,1
62.9,2819.71189329808,8.5755766355187,0.239057088296346,0,0,0,0,1,1,0,0,0,0,1
